Timestamp,What is your username?,What is your discord username?,What was your death count?,Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
8/31/2024 2:25:11,Rafix,rafix8179,25,https://youtu.be/RbpnrCv8HVg?si=IJvhPAiK2ZRBMOqc,Yes
9/2/2024 0:53:35,ZKB,zkb_,26,https://youtu.be/9LFIsOhYLBU,Yes
9/1/2024 21:59:14,Ecl1psed,Ecl1psed,32,https://www.youtube.com/watch?v=IW4FT9b0oNA,Yes
9/2/2024 9:27:15,Appels,appelsappelsappels,38,https://youtu.be/6etE2ENhEE0,Yes
9/3/2024 7:13:56,BS_KNK,celebes_knk,49,https://i.imgur.com/IhKpqC4.png,Yes
9/1/2024 12:32:48,DataSmasher327,DataSmasher327,50,https://imgur.com/a/eXFHcrW,Yes
8/31/2024 9:56:39,Guest_,Guest_,51,https://youtu.be/Vvb3VC9tDsU,Yes
9/2/2024 13:39:18,Parrot Dash,parrotdash,52,https://www.twitch.tv/videos/2240977017,Yes
8/31/2024 7:31:59,wafflemaster608,wafflemaster608,55,https://imgur.com/a/MsgvhRJ,Yes
8/30/2024 11:37:12,Whiskeyjack,whiskeyjack3741,59,https://cdn.discordapp.com/attachments/1249796816254533665/1279146588660436994/20240830183123_1.jpg?ex=66d36198&is=66d21018&hm=2bb79a8f1f8092e3161e69f56b093451f3f7cc3d2e449e83adf5bfdcd5e004a2&,Yes
9/1/2024 8:57:15,leiz123321,leiz123321,70,https://imgur.com/a/2Wu6KXS,Yes
8/30/2024 12:20:10,YeetTheTable,YeetTheTable,73,https://imgur.com/a/SB5KSt4,Yes
9/1/2024 14:34:53,lem,lemqns,77,https://prnt.sc/B2lxHMsMjxDQ,Yes
8/30/2024 15:07:18,Bread,Bread,80,https://prnt.sc/XDB29FetJR6B,Yes
8/30/2024 12:32:33,Nyan,ppnyan,82,https://prnt.sc/DYAeNwv5Y-Sh,Yes
8/30/2024 15:07:18,寂冷qing淡,寂冷qing淡,88,https://prnt.sc/SuMFtyfq_rT3,Yes
8/31/2024 11:22:42,AmberBolt,amber_bolt,92,https://youtu.be/GOM-4Mfzu98,Yes
8/30/2024 15:07:18,bits像素,bits像素,95,https://prnt.sc/BNzhIu13lEmU,Yes
8/30/2024 11:52:56,Div,divitile,100,https://imgur.com/a/kGE4yd2,Yes
9/2/2024 22:12:43,Scrubz,Scrubz,100,https://youtu.be/OaRjPh1sUS8,Yes
8/30/2024 15:07:18,不记得密码,不记得密码,101,https://prnt.sc/eARiA35kidLK,Yes
8/30/2024 12:25:24,Adam Korinek,Adam Korinek,112,https://prnt.sc/HJP5i3WIGC1s,Yes
8/30/2024 15:07:18,啊鸿呀i,啊鸿呀i,112,https://prnt.sc/_z1J1XUy-KAj,Yes
9/3/2024 10:05:05,juckter,juckter,116,https://prnt.sc/tAUoXuKAuDT-,Yes
9/2/2024 9:49:09,Blacklight,blacklight_____,119,https://imgur.com/a/RBIfrI9,Yes
8/30/2024 11:40:47,Rilp_,Rilp_,126,https://imgur.com/a/VmS0Q21,Yes
8/30/2024 13:12:41,Moladan,Moladan,138,https://discord.com/channels/912804360331874355/1249796816254533665/1279171732539703317,Yes
8/30/2024 13:08:06,jatloe,jatloe12345,157,https://imgur.com/a/SQIDrl0,Yes
8/30/2024 15:04:49,NagKai,NagKai,162,https://discord.com/channels/912804360331874355/1249796816254533665/1279199454473228451,Yes
8/30/2024 15:07:18,zhujiao,zhujiao,162,https://prnt.sc/B-6bqEeJAVmt,Yes
8/31/2024 15:57:08,Brst,Brst,164,https://youtu.be/bfNOKufajpU,Yes
9/1/2024 7:34:10,Player696103392,Player696103392,171,https://imgur.com/a/79Dz27c,Yes
9/1/2024 1:58:03,Snowdrop,Snowdrop_rikka,189,https://imgur.com/a/5R8oW28,Yes
9/2/2024 11:18:46,Terus,terus3289,197,https://prnt.sc/zPfVY2pioyFI,Yes
9/2/2024 12:16:49,Keehle,keehle,201,https://imgur.com/a/2RlssIt,Yes
8/30/2024 15:07:18,ALSIHCT,ALSIHCT,210,https://prnt.sc/QSoSGGjmpSUs,Yes
8/31/2024 6:59:02,te_79,te_79,222,https://imgur.com/a/NVoIdyY,Yes
9/1/2024 14:53:40,Mika,mikachelya,230,https://discord.com/channels/912804360331874355/1249796816254533665/1279922102476079245,Yes
8/30/2024 15:07:18,付雪,付雪,234,https://prnt.sc/8g4YAV3F2VdD,Yes
9/1/2024 11:37:45,SRN,srn_rl,272,https://imgur.com/a/3VV8qX6,Yes
9/2/2024 2:22:54,z0teling,z0teling,287,https://imgur.com/a/RIlW4uu,Yes
8/30/2024 12:05:08,JazzyJonah,jazzyjonah,409,https://imgur.com/a/hR7gbqT,Yes
9/3/2024 9:57:26,Wojowu,wojowu,429,https://prnt.sc/wwHSe4A8fb8H,Yes
8/30/2024 15:07:18,剑上忍,剑上忍,462,https://prnt.sc/rgKRL1Mk8-Cz,Yes
9/3/2024 0:06:06,bigpenguinofdeath4132,bigpenguinofdeath4132,487,https://imgur.com/a/knyX22f,Yes
9/1/2024 16:22:13,gkk,_bactrianus,558,https://i.imgur.com/mli5KvW.jpeg,Yes
8/30/2024 13:46:32,P2,p2shka,657,https://imgur.com/1R9rpnT,Yes
8/30/2024 15:07:18,BloodyOrange,.bloodyorange,780,https://imgur.com/a/olokOSX,Yes